UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
101189,4,  3,"Z",0,"Z",0,"R",17,"R",83,"R",2,"Z",0,"R",2,"R",2,"R",1,"R",1,"R",52,"R",23,"R",4,"R",4,"R",78,"R",113,"Z",0,"R",100,"R",2,"R",4,"R",2,"R",75,"R",8,"R",191
101231,1,999,"Z",0,"Z",0,"R",1,"R",19,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",8,"R",68,"Z",0,"Z",0,"R",9,"R",91,"Z",0,"R",20,"Z",0,"Z",0,"R",4,"R",76,"Z",0,"R",100
101231,2,  1,"Z",0,"Z",0,"R",1,"R",19,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",8,"R",68,"Z",0,"Z",0,"R",9,"R",91,"Z",0,"R",20,"Z",0,"Z",0,"R",4,"R",76,"Z",0,"R",100
101240,1,999,"R",126,"R",100,"R",616,"R",1078,"R",15,"R",17,"R",15,"R",21,"R",38,"R",58,"R",30,"R",3616,"R",2275,"R",61,"R",3115,"R",4951,"R",226,"R",1694,"R",32,"R",36,"R",96,"R",3646,"R",2336,"R",8066
101240,2,  1,"R",126,"R",100,"R",616,"R",1078,"R",15,"R",17,"R",15,"R",21,"R",38,"R",58,"R",30,"R",3616,"R",2275,"R",61,"R",3115,"R",4951,"R",226,"R",1694,"R",32,"R",36,"R",96,"R",3646,"R",2336,"R",8066
101286,1,999,"Z",0,"R",1,"R",454,"R",952,"R",10,"R",6,"R",26,"R",47,"R",27,"R",43,"R",1360,"R",2128,"R",18,"R",31,"R",1895,"R",3208,"R",1,"R",1406,"R",16,"R",73,"R",70,"R",3488,"R",49,"R",5103
101286,2,  1,"Z",0,"R",1,"R",454,"R",952,"R",10,"R",6,"R",26,"R",47,"R",27,"R",43,"R",1360,"R",2128,"R",18,"R",31,"R",1895,"R",3208,"R",1,"R",1406,"R",16,"R",73,"R",70,"R",3488,"R",49,"R",5103
101295,1,999,"Z",0,"Z",0,"R",123,"R",229,"R",14,"R",25,"R",6,"R",13,"R",29,"R",30,"R",2429,"R",4363,"R",15,"R",42,"R",2616,"R",4702,"Z",0,"R",352,"R",39,"R",19,"R",59,"R",6792,"R",57,"R",7318
101295,2,  1,"Z",0,"Z",0,"R",123,"R",229,"R",14,"R",25,"R",6,"R",13,"R",29,"R",30,"R",2429,"R",4363,"R",15,"R",42,"R",2616,"R",4702,"Z",0,"R",352,"R",39,"R",19,"R",59,"R",6792,"R",57,"R",7318
101301,1,999,"Z",0,"Z",0,"R",438,"R",1416,"R",1,"R",1,"Z",0,"R",8,"Z",0,"R",6,"R",555,"R",853,"R",1,"R",4,"R",995,"R",2288,"Z",0,"R",1854,"R",2,"R",8,"R",6,"R",1408,"R",5,"R",3283
101301,2,  1,"Z",0,"Z",0,"R",438,"R",1416,"R",1,"R",1,"Z",0,"R",8,"Z",0,"R",6,"R",555,"R",853,"R",1,"R",4,"R",995,"R",2288,"Z",0,"R",1854,"R",2,"R",8,"R",6,"R",1408,"R",5,"R",3283
101365,1,999,"Z",0,"Z",0,"R",147,"R",233,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",173,"R",70,"R",10,"R",5,"R",332,"R",308,"Z",0,"R",380,"R",1,"R",1,"Z",0,"R",243,"R",15,"R",640
101365,2,  1,"Z",0,"Z",0,"R",147,"R",233,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",173,"R",70,"R",10,"R",5,"R",332,"R",308,"Z",0,"R",380,"R",1,"R",1,"Z",0,"R",243,"R",15,"R",640
101435,1,999,"R",1,"R",6,"R",61,"R",42,"R",4,"R",5,"R",5,"R",3,"R",4,"R",6,"R",334,"R",272,"R",39,"R",57,"R",448,"R",391,"R",7,"R",103,"R",9,"R",8,"R",10,"R",606,"R",96,"R",839
101435,2,  1,"R",1,"R",6,"R",61,"R",42,"R",4,"R",5,"R",5,"R",3,"R",4,"R",6,"R",334,"R",272,"R",39,"R",57,"R",448,"R",391,"R",7,"R",103,"R",9,"R",8,"R",10,"R",606,"R",96,"R",839
101453,1,999,"R",14,"Z",0,"R",1,"R",17,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",18,"R",89,"Z",0,"Z",0,"R",35,"R",107,"R",14,"R",18,"R",1,"R",2,"Z",0,"R",107,"Z",0,"R",142
101453,2,  1,"R",8,"Z",0,"Z",0,"R",17,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",89,"Z",0,"Z",0,"R",9,"R",107,"R",8,"R",17,"R",1,"R",1,"Z",0,"R",89,"Z",0,"R",116
